置信系数0.42 k=5层
id,value,val_acc,best_epoch,last_epoch
16,"tensor(0.7520, device='cuda:0', dtype=torch.float64)",0.744,28,172
17,"tensor(0.7550, device='cuda:0', dtype=torch.float64)",0.746,161,262
18,"tensor(0.7620, device='cuda:0', dtype=torch.float64)",0.734,32,133
19,"tensor(0.7560, device='cuda:0', dtype=torch.float64)",0.756,70,171
20,"tensor(0.7550, device='cuda:0', dtype=torch.float64)",0.752,130,234
21,"tensor(0.7530, device='cuda:0', dtype=torch.float64)",0.746,5,106
22,"tensor(0.7540, device='cuda:0', dtype=torch.float64)",0.754,46,159
23,"tensor(0.7520, device='cuda:0', dtype=torch.float64)",0.75,147,248
24,"tensor(0.7540, device='cuda:0', dtype=torch.float64)",0.748,2,106
25,"tensor(0.7510, device='cuda:0', dtype=torch.float64)",0.748,50,151
mean,std
"tensor(0.7544, dtype=torch.float64)","tensor(0.0031, dtype=torch.float64)"

置信系数0.41 k=5层
id,value,val_acc,best_epoch,last_epoch
16,"tensor(0.7470, device='cuda:0', dtype=torch.float64)",0.734,155,348
17,"tensor(0.7600, device='cuda:0', dtype=torch.float64)",0.754,596,815
18,"tensor(0.7590, device='cuda:0', dtype=torch.float64)",0.752,9,178
19,"tensor(0.7530, device='cuda:0', dtype=torch.float64)",0.748,133,234
20,"tensor(0.7510, device='cuda:0', dtype=torch.float64)",0.75,130,343
21,"tensor(0.7560, device='cuda:0', dtype=torch.float64)",0.748,125,226
22,"tensor(0.7540, device='cuda:0', dtype=torch.float64)",0.748,43,245
23,"tensor(0.7530, device='cuda:0', dtype=torch.float64)",0.754,45,168
24,"tensor(0.7570, device='cuda:0', dtype=torch.float64)",0.752,61,162
25,"tensor(0.7580, device='cuda:0', dtype=torch.float64)",0.742,5,113
mean,std
"tensor(0.7548, dtype=torch.float64)","tensor(0.0040, dtype=torch.float64)"

置信系数0.40 k=5层
id,value,val_acc,best_epoch,last_epoch
16,"tensor(0.7490, device='cuda:0', dtype=torch.float64)",0.75,229,330
17,"tensor(0.7570, device='cuda:0', dtype=torch.float64)",0.756,49,332
18,"tensor(0.7580, device='cuda:0', dtype=torch.float64)",0.744,261,362
19,"tensor(0.7550, device='cuda:0', dtype=torch.float64)",0.748,13,182
20,"tensor(0.7560, device='cuda:0', dtype=torch.float64)",0.75,209,310
21,"tensor(0.7480, device='cuda:0', dtype=torch.float64)",0.746,2,103
22,"tensor(0.7540, device='cuda:0', dtype=torch.float64)",0.756,36,150
23,"tensor(0.7510, device='cuda:0', dtype=torch.float64)",0.756,5,106
24,"tensor(0.7490, device='cuda:0', dtype=torch.float64)",0.754,2,114
25,"tensor(0.7460, device='cuda:0', dtype=torch.float64)",0.752,2,103
mean,std
"tensor(0.7523, dtype=torch.float64)","tensor(0.0042, dtype=torch.float64)"

置信系数0.43 k=5层
id,value,val_acc,best_epoch,last_epoch
16,"tensor(0.7580, device='cuda:0', dtype=torch.float64)",0.75,153,254
17,"tensor(0.7590, device='cuda:0', dtype=torch.float64)",0.752,93,194
18,"tensor(0.7550, device='cuda:0', dtype=torch.float64)",0.744,84,185
19,"tensor(0.7590, device='cuda:0', dtype=torch.float64)",0.758,13,114
20,"tensor(0.7510, device='cuda:0', dtype=torch.float64)",0.752,109,210
21,"tensor(0.7550, device='cuda:0', dtype=torch.float64)",0.754,78,179
22,"tensor(0.7540, device='cuda:0', dtype=torch.float64)",0.742,2,141
23,"tensor(0.7570, device='cuda:0', dtype=torch.float64)",0.74,114,215
24,"tensor(0.7570, device='cuda:0', dtype=torch.float64)",0.748,13,135
25,"tensor(0.7540, device='cuda:0', dtype=torch.float64)",0.756,3,213
mean,std
"tensor(0.7559, dtype=torch.float64)","tensor(0.0026, dtype=torch.float64)"
